LOCALIDAD,2009,2010,2011,2012,2013,2014,2015,2016,2017
QUEBRADA COLOMBIANA RIO M,23,,,,,,,,
QUEBRADA COLOMBIANO,,5,7,62,19,33,6,1,15
QUEBRADA COLPAYO,5,,1,,6,1,,1,2
QUEBRADA COMANDANCIA,,,,,6,3,,,
QUEBRADA CONTAYO,,,3,1,1,2,1,1,
QUEBRADA COPAL URCO,,,,1,,,,1,
QUEBRADA COSHO POSHA,2,,,,,,,,
QUEBRADA COTO,,,3,3,1,2,1,3,4
QUEBRADA COYAPOZA,,,3,,,,,,
QUEBRADA CURARAY,,,4,,,2,3,,1
QUEBRADA CURUHUINSI,,,2,,,,,1,
QUEBRADA CURUHUINSI RIO,2,,,,,,,,
QUEBRADA CURUINSI,,,,3,,,,,
QUEBRADA EUSEBIO RIO MAZA,3,,,,,,,,
QUEBRADA FRANCISCO,,2,4,2,2,,12,2,
QUEBRADA GAMITANA,1,,8,2,,,11,3,3
QUEBRADA GRANDEZ,,,,,,1,,,
QUEBRADA GRANDEZ RIO MAZA,1,,,,,,,,
QUEBRADA HUACAMAYO,3,9,18,10,5,8,3,1,5
QUEBRADA HUACAMAYO RIO MA,15,,,,,,,,
QUEBRADA HUARMI,,1,7,4,4,1,6,,6
QUEBRADA HUATARACO,,,4,11,5,4,,1,5
QUEBRADA HUATARACO RIO MA,5,,,,,,,,
QUEBRADA INAYUGA,1,31,61,25,7,10,1,2,1
QUEBRADA INAYUGA INAYUGA,27,,,,,,,,
QUEBRADA JERGON,2,1,6,7,1,1,1,3,3
QUEBRADA LAGARTO,,4,,,,4,,,
QUEBRADA LAGARTO RIO MAZA,4,,,,,,,,
QUEBRADA LAUREANO RIO MAZ,17,,,,,,,,
QUEBRADA LAURIANO,1,4,10,16,6,4,3,12,9
QUEBRADA LIMON,,,1,,,,,,
QUEBRADA LINARILLO,,1,3,7,7,3,1,1,
QUEBRADA LOBO,,,1,4,,,3,1,3
QUEBRADA LOBO COCHA,1,,,,,,,,
QUEBRADA LUﾃ前,,,,,,,,,1
QUEBRADA LU?O,,,,2,2,,2,,
QUEBRADA LU?O RIO MAZAN,9,,,,,,,,
QUEBRADA MACHETE,,1,2,7,1,8,2,1,3
QUEBRADA MACHETE  RIO MAZ,2,,,,,,,,
QUEBRADA MANATI RIO MAZAN,2,,,,,,,,
QUEBRADA MAPA,,7,21,26,16,13,2,5,15
QUEBRADA MAPA RIO MAZAN,22,,,,,,,,
QUEBRADA MAQUISAPILLO,,,,,,1,1,,1
QUEBRADA MARTINEZ RIO MAZ,1,,,,,,,,
QUEBRADA MASICHI,,,3,,,,,,
QUEBRADA MASL,,,,,1,,,,
QUEBRADA MAUCALLACTA,,,,1,1,1,3,,
QUEBRADA MAYURUNA,,,2,3,,,,,
QUEBRADA MAZAN,,1,,1,1,,,1,
QUEBRADA MOENA,,,2,11,10,,,,15
QUEBRADA PAﾃ羨,,,,,,,,4,21
QUEBRADA PACO POZA,1,2,1,,,1,2,,1
QUEBRADA PA?A,4,15,20,15,7,23,,,
QUEBRADA PA?A RIO MAZAN,24,,,,,,,,
QUEBRADA PALOMETA,3,37,76,37,35,59,9,19,78
QUEBRADA PALOMETA RIO MAZ,43,,,,,,,,
QUEBRADA PANILLO,2,2,3,6,2,3,5,10,2
QUEBRADA PANILLO RIO MAZA,9,,,,,,,,
QUEBRADA PAUCAR,,,5,,6,7,,3,3
QUEBRADA PAUCAR URCO,,,,5,,,,,
QUEBRADA PAUCARILLO,,,,,1,1,1,,5
QUEBRADA PAVAYACU,,2,,,,,,,
QUEBRADA PENILLA,,,,,1,1,,2,
QUEBRADA PERICOTE,,,1,,,,,,
QUEBRADA PI?ASIQUI RIO MA,2,,,,,,,,
QUEBRADA PINSHA,,1,1,,,,,,
QUEBRADA PIRI PIRI,1,,,,,,,,
QUEBRADA PIRIPIRI,,1,5,1,,,,2,
